forecast_horizon_months,model_id,rmse_with_gnc,mae_with_gnc,corr_with_gnc,directional_accuracy_with_gnc,strategy_annualized_sharpe_with_gnc,predicted_positive_rate_with_gnc,rmse_no_gnc,mae_no_gnc,corr_no_gnc,directional_accuracy_no_gnc,strategy_annualized_sharpe_no_gnc,predicted_positive_rate_no_gnc,rmse_improvement_from_gnc,mae_improvement_from_gnc,corr_delta_from_gnc,direction_delta_from_gnc,sharpe_delta_from_gnc
1,always_positive,0.9942428250636105,0.9924577268469671,,0.5914759656132704,0.43872826598221626,1.0,0.9942428250636105,0.9924577268469671,,0.5914759656132704,0.43872826598221626,1.0,0.0,0.0,,0.0,0.0
1,distributed_lag,0.0517908511897833,0.03777987042074064,0.717062653870309,0.8286717520280905,2.3413330989413077,0.6531057028695968,0.051813271904834445,0.037840289017323274,0.7125469000055856,0.8337571134519918,2.403839217504675,0.6506841021915486,2.2420715051145457e-05,6.041859658263704e-05,0.00451575386472336,-0.005085361423901258,-0.06250611856336752
1,elastic_net_panel,0.05762806954983362,0.042048575627557865,0.3511114259244884,0.7118295193122655,1.139125494650765,0.6646083060903257,0.057655642242365614,0.042087690914129866,0.3490141385817691,0.7103765589054365,1.1309176410572417,0.6631553456834968,2.757269253199357e-05,3.911528657200153e-05,0.0020972873427193006,0.0014529604068289625,0.008207853593523273
1,historical_mean,0.06019831853552534,0.044652233352449736,-0.03433973915019459,0.5606005569681559,0.11765393944539441,0.666182346531057,0.06019831853552534,0.044652233352449736,-0.03433973915019459,0.5606005569681559,0.11765393944539441,0.666182346531057,0.0,0.0,0.0,0.0,0.0
1,ols_predictive,0.060197811646210186,0.04464983172456968,-0.033777433826092884,0.5591475965613271,0.11505437996474996,0.6656980263954474,0.05518447927664013,0.039787766551989664,0.4710127348322641,0.7361666061266497,1.3963753265268464,0.6625499455139847,-0.005013332369570057,-0.0048620651725800185,-0.5047901686583569,-0.17701900956532268,-1.2813209465620965
1,random_forest_panel,0.053181451629848685,0.03726653985959337,0.606205138476742,0.8405375953505267,2.142341840271381,0.6349436977842354,0.05294995224698147,0.037148387734602925,0.6061583426104269,0.8392057149776002,2.1868608115015693,0.6418452597166727,-0.00023149938286721322,-0.00011815212499044492,4.6795866315063606e-05,0.0013318803729265305,-0.04451897123018833
2,always_positive,0.9881043689531614,0.9845312158090165,,0.611320296368274,0.6382598955655168,1.0,0.9881043689531614,0.9845312158090165,,0.611320296368274,0.6382598955655168,1.0,0.0,0.0,,0.0,0.0
2,distributed_lag,0.07945680388193563,0.05931038383665717,0.41893595810446893,0.6854123648730718,1.3515453095205678,0.6810397182072149,0.07941749753447358,0.05928419427399656,0.41969515701716315,0.6891776995020041,1.3956235526141327,0.6799465565407506,-3.9306347462048086e-05,-2.6189562660608456e-05,-0.0007591989126942145,-0.0037653346289323597,-0.044078243093564895
2,elastic_net_panel,0.08323585642389038,0.06218525887404803,0.17905408691073588,0.624195311551075,0.8020319255193163,0.6863840641321511,0.08327452978072654,0.062232249348058204,0.17608617293600343,0.6215231385886069,0.7908885650144005,0.6868699137616907,3.86733568361608e-05,4.699047401017509e-05,0.00296791397473245,0.0026721729624681334,0.011143360504915822
2,historical_mean,0.0849863230131472,0.06385900946655665,0.022117643088928482,0.5621280213773837,0.32582941733957377,0.679460706911211,0.0849863230131472,0.06385900946655665,0.022117643088928482,0.5621280213773837,0.32582941733957377,0.679460706911211,0.0,0.0,0.0,0.0,0.0
2,ols_predictive,0.08498949036332203,0.06385638686863897,0.02178491366548573,0.5623709461921536,0.3270923826567825,0.6787319324669014,0.08182103463520178,0.06082840886825134,0.2662067598126048,0.6429005222883517,0.8647091112097064,0.6769099963561278,-0.0031684557281202452,-0.003027978000387628,-0.24442184614711904,-0.08052957609619815,-0.5376167285529239
2,random_forest_panel,0.07967723245749987,0.05917809329886137,0.36990279041237856,0.6769099963561278,1.324721040160672,0.7143204178306815,0.07923070786828283,0.05886677922645332,0.37907999692787897,0.6776387708004372,1.3415855647564165,0.7218510870885461,-0.00044652458921703997,-0.0003113140724080449,-0.009177206515500413,-0.0007287744443094102,-0.016864524595744612
3,always_positive,0.9813501179536003,0.976203215752037,,0.6101197751161085,0.8212570986010319,1.0,0.9813501179536003,0.976203215752037,,0.6101197751161085,0.8212570986010319,1.0,0.0,0.0,,0.0,0.0
3,distributed_lag,0.09790046904133341,0.07436168648521889,0.2941505039774122,0.6338303593253484,1.0700543759153684,0.6790515766316304,0.09785291143501514,0.07431173951644715,0.2956175525171774,0.6372525054998778,1.0990953574595652,0.6829626008310926,-4.755760631827699e-05,-4.994696877173854e-05,-0.0014670485397652033,-0.0034221461745294057,-0.029040981544196764
3,elastic_net_panel,0.10065608756502181,0.07649071403366788,0.14320929692811538,0.6010755316548522,0.746728070958273,0.6748961134197018,0.10068662539592975,0.07652082426684154,0.14127497403409933,0.5970422879491567,0.7095764097487863,0.67941823515033,3.0537830907936825e-05,3.0110233173660794e-05,0.001934322894016044,0.004033243705695466,0.03715166120948665
3,historical_mean,0.10196532704391612,0.07767421258923997,0.06523088071834848,0.560865314104131,0.4033197817598708,0.6601075531654852,0.10196532704391612,0.07767421258923997,0.06523088071834848,0.560865314104131,0.4033197817598708,0.6601075531654852,0.0,0.0,0.0,0.0,0.0
3,ols_predictive,0.1019814991972649,0.07768793525114454,0.06479719384393245,0.560254216572965,0.40840101591450473,0.65876313859692,0.09964891002856217,0.07555016043444358,0.20107742569061485,0.6044976778293816,0.7785451812899699,0.6546076753849914,-0.0023325891687027284,-0.002137774816700952,-0.1362802318466824,-0.04424346125641654,-0.37014416537546513
3,random_forest_panel,0.09709473815485448,0.07336076541739639,0.30008688695512536,0.6329748227817159,1.1339679939957714,0.7280615986311415,0.09648663832448244,0.07288084855746495,0.3196620927768014,0.6352969934001467,1.1664494106996182,0.7384502566609631,-0.0006080998303720359,-0.0004799168599314424,-0.019575205821676045,-0.0023221706184307633,-0.032481416703846744
4,always_positive,0.9708566652197143,0.964702275706487,,0.6539031620553359,1.1203188401356292,1.0,0.9708566652197143,0.964702275706487,,0.6539031620553359,1.1203188401356292,1.0,0.0,0.0,,0.0,0.0
4,distributed_lag,0.10883933022825748,0.08463843423081518,0.25146969462536656,0.6379693675889329,1.0183852718904811,0.665143280632411,0.10882464304100803,0.0846094073039825,0.25081544931650246,0.6414278656126482,1.0590654360685583,0.6686017786561265,-1.4687187249451394e-05,-2.9026926832681488e-05,0.0006542453088640987,-0.0034584980237153395,-0.04068016417807718
4,elastic_net_panel,0.11111636074993435,0.08636147068177202,0.14400303644772466,0.6143774703557312,0.7561346649727242,0.6855237154150198,0.11113050616186351,0.08639096959665493,0.14377512438081244,0.6169713438735178,0.775567068823341,0.6779891304347826,1.414541192916452e-05,2.9498914882908345e-05,0.00022791206691222254,-0.0025938735177866157,-0.01943240385061684
4,historical_mean,0.11233958608613707,0.0874494976421446,0.09051245354664667,0.5851037549407114,0.5591197814120205,0.6641551383399209,0.11233958608613707,0.0874494976421446,0.09051245354664667,0.5851037549407114,0.5591197814120205,0.6641551383399209,0.0,0.0,0.0,0.0,0.0
4,ols_predictive,0.11237436306336769,0.08747905004617956,0.09009513956396176,0.584856719367589,0.5757255242733125,0.6619318181818182,0.1102253093304131,0.08547350732493823,0.1901218764518909,0.620306324110672,0.8476212260913194,0.6450098814229249,-0.002149053732954598,-0.0020055427212413296,-0.10002673688792915,-0.03544960474308301,-0.27189570181800693
4,random_forest_panel,0.10609287419274237,0.08192818995206684,0.32124423361947485,0.6741600790513834,1.2866868854828237,0.745306324110672,0.10533123014364768,0.08128141174757178,0.34121355463237707,0.6835474308300395,1.3699473404409652,0.7470355731225297,-0.0007616440490946924,-0.0006467782044950604,-0.01996932101290222,-0.009387351778656128,-0.0832604549581415
5,always_positive,0.962940529451505,0.955530599702287,,0.6779044993106905,1.2920139906220285,1.0,0.962940529451505,0.955530599702287,,0.6779044993106905,1.2920139906220285,1.0,0.0,0.0,,0.0,0.0
5,distributed_lag,0.121375817622725,0.09603625661460843,0.2108510373769942,0.6257676400551447,0.9693317075992336,0.6563479132723399,0.12132999426672413,0.09600173780357642,0.2114706459016779,0.626268956009525,0.9711173467673065,0.6601077829301918,-4.5823356000868065e-05,-3.4518811032016594e-05,-0.0006196085246837069,-0.0005013159543802992,-0.00178563916807295
5,elastic_net_panel,0.12319353510721388,0.09747009271769705,0.13599320080757424,0.610101516480762,0.8058110338968271,0.6547186364206041,0.12323074127447045,0.09751944229416216,0.13488966131485877,0.6108534904123324,0.8070224328747506,0.652713372603083,3.720616725656767e-05,4.934957646511584e-05,0.0011035394927154663,-0.0007519739315703378,-0.0012113989779235501
5,historical_mean,0.1243284321296217,0.09835461785408768,0.09652103485243445,0.5854117057275348,0.6068112852873482,0.640305802732172,0.1243284321296217,0.09835461785408768,0.09652103485243445,0.5854117057275348,0.6068112852873482,0.640305802732172,0.0,0.0,0.0,0.0,0.0
5,ols_predictive,0.1243831394297767,0.09839155655979076,0.09592052551651553,0.5874169695450557,0.6130419831365091,0.6355433011655596,0.12267056085366008,0.09681101128614442,0.1649096211445726,0.6059656598571249,0.7925301497052222,0.6212557964657225,-0.001712578576116619,-0.0015805452736463443,-0.06898909562805708,-0.018548690312069183,-0.17948816656871303
5,random_forest_panel,0.11681363840051068,0.09225349257396145,0.3256952212936863,0.6664995613485399,1.3321679239924107,0.7459581401178093,0.11581674609153517,0.09143609263519276,0.35038728879139314,0.6760245644817646,1.4501594654287493,0.7524752475247525,-0.000996892308975511,-0.0008173999387686981,-0.02469206749770686,-0.009525003133224685,-0.11799154143633861
